ClaimNumber,PaymentType,CostType,CostCategory,GrossAmount,PaymentJustifiedInNotes
CLM000784,Direct Deposit,Vehicle Repair,Indemnity,21236.91,YES
CLM000083,Direct Deposit,Vehicle Repair,Expense,32554.19,YES
CLM000992,Check,Medical,Indemnity,34166.73,NO
CLM000082,Check,Vehicle Repair,Indemnity,20822.12,YES
CLM000238,Credit Card,Vehicle Repair,Indemnity,44097.1,YES
CLM000243,Check,Property Damage,Expense,9394.59,YES
CLM000284,Credit Card,Medical,Indemnity,37579.7,YES
CLM000736,Check,Vehicle Repair,Expense,39902.74,YES
CLM000277,Direct Deposit,Property Damage,Expense,43675.55,YES
CLM000194,Credit Card,Property Damage,Indemnity,17761.26,NO
CLM000650,Credit Card,Medical,Expense,19951.67,NO
CLM000408,Check,Medical,Indemnity,28949.27,NO
CLM000562,Credit Card,Medical,Expense,14559.71,YES
CLM000884,Direct Deposit,Property Damage,Indemnity,47814.27,NO
CLM000528,Direct Deposit,Property Damage,Expense,7660.46,NO
CLM000686,Credit Card,Medical,Expense,37195.53,YES
CLM000001,Check,Property Damage,Indemnity,37161.27,NO
CLM000340,Check,Vehicle Repair,Expense,1248.34,YES
CLM000957,Check,Property Damage,Expense,25968.89,YES
CLM000517,Check,Medical,Expense,1853.84,YES
CLM000944,Direct Deposit,Vehicle Repair,Indemnity,2058.82,NO
CLM000690,Credit Card,Property Damage,Indemnity,46837.69,NO
CLM000550,Check,Property Damage,Indemnity,39073.18,NO
CLM000857,Direct Deposit,Vehicle Repair,Expense,39657.34,YES
CLM000018,Direct Deposit,Medical,Indemnity,16304.46,NO
CLM000234,Credit Card,Property Damage,Indemnity,25628.27,NO
CLM000764,Direct Deposit,Vehicle Repair,Indemnity,11519.34,YES
CLM000570,Direct Deposit,Property Damage,Expense,36648.55,YES
CLM000622,Check,Medical,Indemnity,11694.87,NO
CLM000574,Direct Deposit,Vehicle Repair,Expense,39510.94,NO
CLM000180,Credit Card,Medical,Expense,5607.92,NO
CLM000938,Check,Property Damage,Expense,19262.12,NO
CLM000938,Direct Deposit,Property Damage,Expense,22966.13,YES
CLM000825,Credit Card,Vehicle Repair,Expense,15246.47,YES
CLM000679,Direct Deposit,Vehicle Repair,Indemnity,21027.03,NO
CLM000532,Credit Card,Property Damage,Expense,10092.89,NO
CLM000866,Check,Vehicle Repair,Expense,27193.16,NO
CLM000933,Direct Deposit,Property Damage,Expense,32935.9,NO
CLM000389,Direct Deposit,Property Damage,Indemnity,385.02,YES
CLM000699,Check,Medical,Indemnity,18978.13,YES
CLM000640,Check,Property Damage,Expense,35862.72,NO
CLM000845,Credit Card,Vehicle Repair,Expense,8612.27,NO
CLM000596,Credit Card,Medical,Expense,7177.75,NO
CLM000033,Direct Deposit,Medical,Indemnity,31543.23,NO
CLM000882,Direct Deposit,Vehicle Repair,Indemnity,28482.84,YES
CLM000900,Credit Card,Medical,Indemnity,10988.18,YES
CLM000148,Credit Card,Property Damage,Indemnity,20218.94,NO
CLM000103,Direct Deposit,Property Damage,Indemnity,9595.63,YES
CLM000525,Direct Deposit,Vehicle Repair,Indemnity,47286.53,YES
CLM000472,Check,Property Damage,Indemnity,31162.68,YES
CLM000615,Check,Property Damage,Indemnity,21891.74,NO
CLM000719,Credit Card,Property Damage,Expense,1229.44,YES
CLM000076,Credit Card,Medical,Indemnity,5462.59,YES
CLM000938,Check,Property Damage,Expense,7111.03,NO
CLM000892,Credit Card,Vehicle Repair,Expense,525.93,YES
CLM000652,Direct Deposit,Medical,Indemnity,41777.8,NO
CLM000605,Direct Deposit,Vehicle Repair,Expense,6009.93,NO
CLM000214,Check,Vehicle Repair,Indemnity,25237.69,YES
CLM000742,Check,Medical,Expense,11408.06,YES
CLM000339,Check,Property Damage,Expense,2599.6,YES
CLM000845,Credit Card,Vehicle Repair,Indemnity,17394.01,YES
CLM000484,Check,Property Damage,Expense,32591.69,YES
CLM000286,Direct Deposit,Vehicle Repair,Indemnity,49037.68,NO
CLM000570,Credit Card,Vehicle Repair,Indemnity,14076.07,NO
CLM000639,Check,Vehicle Repair,Expense,24732.89,NO
CLM000074,Direct Deposit,Property Damage,Indemnity,25439.36,NO
CLM000789,Credit Card,Vehicle Repair,Indemnity,2936.18,YES
CLM000144,Credit Card,Medical,Expense,49087.41,NO
CLM000718,Check,Vehicle Repair,Indemnity,40681.24,NO
CLM000021,Check,Medical,Indemnity,35481.68,NO
CLM000942,Credit Card,Medical,Indemnity,25025.25,NO
CLM000154,Credit Card,Vehicle Repair,Indemnity,1428.79,NO
CLM000277,Credit Card,Property Damage,Expense,49373.88,NO
CLM000656,Direct Deposit,Vehicle Repair,Expense,2496.39,NO
CLM000145,Credit Card,Vehicle Repair,Expense,45787.22,NO
CLM000649,Check,Property Damage,Expense,17408.26,YES
CLM000083,Check,Property Damage,Indemnity,1278.61,YES
CLM000777,Check,Medical,Indemnity,18821.05,YES
CLM000634,Credit Card,Medical,Expense,8619.37,YES
CLM000038,Direct Deposit,Vehicle Repair,Expense,38360.83,YES
CLM000946,Direct Deposit,Property Damage,Indemnity,29671.85,YES
CLM000137,Credit Card,Medical,Expense,2553.31,NO
CLM000224,Credit Card,Property Damage,Indemnity,44719.6,NO
CLM000543,Check,Property Damage,Indemnity,31719.43,NO
CLM000689,Credit Card,Property Damage,Expense,35196.38,NO
CLM000509,Credit Card,Vehicle Repair,Indemnity,14391.49,YES
CLM000912,Credit Card,Medical,Indemnity,20588.42,YES
CLM000225,Credit Card,Property Damage,Indemnity,43458.91,NO
CLM000916,Check,Medical,Indemnity,32882.62,YES
CLM000862,Credit Card,Medical,Indemnity,22834.76,NO
CLM000015,Direct Deposit,Medical,Expense,21293.32,NO
CLM000766,Check,Vehicle Repair,Indemnity,42194.43,NO
CLM000428,Credit Card,Medical,Expense,37377.35,NO
CLM000567,Check,Vehicle Repair,Expense,37119.71,NO
CLM000059,Check,Property Damage,Indemnity,33652.45,NO
CLM000535,Check,Vehicle Repair,Expense,19879.09,YES
CLM000579,Credit Card,Property Damage,Indemnity,40445.05,NO
CLM000112,Direct Deposit,Vehicle Repair,Indemnity,42733.15,NO
CLM000393,Credit Card,Property Damage,Indemnity,13824.12,NO
CLM000882,Check,Medical,Expense,21019.18,NO
CLM000658,Credit Card,Vehicle Repair,Expense,5091.61,YES
CLM000585,Check,Vehicle Repair,Expense,1094.96,YES
CLM000305,Credit Card,Vehicle Repair,Indemnity,27351.96,YES
CLM000745,Check,Medical,Indemnity,15524.97,NO
CLM000357,Credit Card,Vehicle Repair,Indemnity,45551.43,YES
CLM000736,Check,Property Damage,Expense,1844.98,NO
CLM000171,Check,Property Damage,Indemnity,43556.88,NO
CLM000156,Check,Vehicle Repair,Indemnity,15214.39,NO
CLM000947,Credit Card,Property Damage,Expense,47698.04,NO
CLM000731,Direct Deposit,Property Damage,Indemnity,40793.89,NO
CLM000234,Direct Deposit,Vehicle Repair,Expense,16746.1,NO
CLM000762,Direct Deposit,Medical,Expense,41842.76,NO
CLM000353,Direct Deposit,Property Damage,Indemnity,27211.69,YES
CLM000749,Check,Property Damage,Expense,39858.69,NO
CLM000625,Direct Deposit,Property Damage,Expense,13072.35,NO
CLM000975,Check,Property Damage,Expense,42078.31,NO
CLM000116,Check,Property Damage,Indemnity,40640.91,NO
CLM000302,Direct Deposit,Property Damage,Expense,26396.99,NO
CLM000975,Credit Card,Property Damage,Expense,21885.95,NO
CLM000465,Check,Property Damage,Expense,20447.75,YES
CLM000067,Credit Card,Property Damage,Expense,12551.25,YES
CLM000866,Check,Property Damage,Indemnity,22877.01,YES
CLM000402,Check,Property Damage,Expense,1087.12,NO
CLM000665,Credit Card,Medical,Indemnity,24178.46,YES
CLM000061,Check,Vehicle Repair,Expense,9563.72,NO
CLM000798,Direct Deposit,Medical,Expense,38324.37,NO
CLM000008,Check,Medical,Expense,34489.39,YES
CLM000543,Direct Deposit,Property Damage,Indemnity,39802.07,YES
CLM000731,Check,Property Damage,Indemnity,48131.68,YES
CLM000722,Direct Deposit,Vehicle Repair,Expense,45814.66,YES
CLM000497,Check,Property Damage,Indemnity,9636.35,YES
CLM000427,Credit Card,Medical,Indemnity,49751.43,NO
CLM000529,Credit Card,Vehicle Repair,Indemnity,46837.99,NO
CLM000690,Check,Property Damage,Expense,11868.59,YES
CLM000945,Credit Card,Vehicle Repair,Indemnity,48976.68,NO
CLM000933,Direct Deposit,Property Damage,Expense,37563.52,NO
CLM000030,Check,Property Damage,Expense,645.31,NO
CLM000953,Check,Medical,Indemnity,1050.08,YES
CLM000341,Direct Deposit,Medical,Indemnity,18985.64,YES
CLM000662,Direct Deposit,Medical,Indemnity,44501.56,YES
CLM000851,Direct Deposit,Medical,Expense,27652.13,YES
CLM000413,Credit Card,Vehicle Repair,Indemnity,35836.91,YES
CLM000217,Check,Medical,Expense,35508.72,YES
CLM000482,Check,Property Damage,Indemnity,21932.86,YES
CLM000467,Direct Deposit,Property Damage,Indemnity,24177.29,YES
CLM000268,Check,Vehicle Repair,Indemnity,41613.64,NO
CLM000160,Credit Card,Vehicle Repair,Indemnity,6108.27,NO
CLM000597,Direct Deposit,Property Damage,Indemnity,37767.43,NO
CLM000700,Direct Deposit,Medical,Indemnity,41131.26,NO
CLM000650,Direct Deposit,Medical,Expense,20634.71,NO
CLM000038,Check,Property Damage,Expense,6269.92,NO
CLM000808,Check,Property Damage,Indemnity,1567.41,NO
CLM000496,Credit Card,Property Damage,Expense,19439.9,YES
CLM000713,Check,Property Damage,Indemnity,19898.06,NO
CLM000210,Credit Card,Property Damage,Indemnity,7711.2,YES
CLM000175,Credit Card,Medical,Indemnity,19259.23,NO
CLM000200,Credit Card,Vehicle Repair,Expense,8513.09,NO
CLM000643,Credit Card,Property Damage,Expense,13543.84,YES
CLM000216,Direct Deposit,Property Damage,Expense,1931.43,NO
CLM000113,Check,Medical,Expense,15348.97,NO
CLM000922,Direct Deposit,Property Damage,Expense,45511.03,YES
CLM000477,Check,Vehicle Repair,Indemnity,16237.6,NO
CLM000380,Direct Deposit,Property Damage,Expense,39725.19,NO
CLM000018,Credit Card,Property Damage,Indemnity,5213.11,YES
CLM000613,Credit Card,Property Damage,Indemnity,19178.47,YES
CLM000504,Credit Card,Medical,Expense,34669.55,YES
CLM000755,Credit Card,Medical,Indemnity,20285.03,NO
CLM000189,Credit Card,Property Damage,Expense,42037.48,YES
CLM000279,Direct Deposit,Property Damage,Indemnity,35536.75,NO
CLM000382,Credit Card,Medical,Expense,40514.9,YES
CLM000537,Credit Card,Vehicle Repair,Expense,32143.91,YES
CLM000993,Credit Card,Vehicle Repair,Expense,19947.59,NO
CLM000984,Credit Card,Vehicle Repair,Indemnity,40941.61,YES
CLM000562,Credit Card,Property Damage,Indemnity,13648.72,YES
CLM000797,Credit Card,Vehicle Repair,Indemnity,7198.41,NO
CLM000850,Direct Deposit,Medical,Expense,18503.81,NO
CLM000879,Check,Property Damage,Indemnity,30412.98,NO
CLM000230,Check,Property Damage,Indemnity,11532.24,YES
CLM000346,Credit Card,Medical,Indemnity,46446.64,YES
CLM000378,Credit Card,Medical,Expense,37757.99,YES
CLM000103,Credit Card,Medical,Indemnity,6398.55,NO
CLM000690,Credit Card,Property Damage,Indemnity,4429.5,NO
CLM000972,Credit Card,Vehicle Repair,Expense,2665.13,NO
CLM000222,Check,Property Damage,Indemnity,38515.95,NO
CLM000368,Check,Property Damage,Indemnity,30886.68,NO
CLM000486,Direct Deposit,Property Damage,Expense,41393.11,NO
CLM000292,Credit Card,Vehicle Repair,Expense,13559.26,NO
CLM000364,Credit Card,Vehicle Repair,Expense,20445.21,YES
CLM000966,Direct Deposit,Property Damage,Expense,33585.85,NO
CLM000819,Check,Vehicle Repair,Indemnity,18153.52,YES
CLM000232,Credit Card,Vehicle Repair,Expense,23279.71,YES
CLM000763,Check,Property Damage,Expense,44408.11,NO
CLM000268,Credit Card,Vehicle Repair,Expense,37304.59,YES
CLM000801,Credit Card,Property Damage,Expense,7029.86,NO
CLM000222,Credit Card,Vehicle Repair,Expense,34242.37,NO
CLM000295,Direct Deposit,Medical,Indemnity,44656.82,YES
CLM000681,Credit Card,Vehicle Repair,Indemnity,7717.7,YES
CLM000494,Credit Card,Vehicle Repair,Expense,13223.03,YES
CLM000077,Check,Medical,Indemnity,19792.5,NO
CLM000312,Check,Medical,Expense,41347.38,YES
CLM000817,Check,Property Damage,Indemnity,12376.35,YES
CLM000351,Check,Property Damage,Indemnity,1755.67,NO
CLM000550,Check,Vehicle Repair,Indemnity,48091.27,YES
CLM000243,Credit Card,Property Damage,Indemnity,45078.26,NO
CLM000697,Direct Deposit,Vehicle Repair,Expense,33067.52,YES
CLM000559,Check,Medical,Indemnity,3528.49,NO
CLM000990,Check,Vehicle Repair,Indemnity,29724.54,YES
CLM000456,Credit Card,Medical,Expense,36795.77,YES
CLM000315,Credit Card,Vehicle Repair,Expense,32091.84,YES
CLM000271,Credit Card,Property Damage,Indemnity,36722.84,NO
CLM000713,Direct Deposit,Property Damage,Expense,38813.6,NO
CLM000070,Direct Deposit,Property Damage,Indemnity,11631.27,YES
CLM000682,Check,Medical,Indemnity,13938.83,NO
CLM000943,Direct Deposit,Vehicle Repair,Expense,49668.51,NO
CLM000927,Credit Card,Property Damage,Expense,11105.13,NO
CLM000785,Credit Card,Medical,Indemnity,37758.65,NO
CLM000622,Check,Medical,Indemnity,48690.32,YES
CLM000756,Check,Medical,Indemnity,31433.54,NO
CLM000371,Check,Vehicle Repair,Expense,9475.26,YES
CLM000707,Direct Deposit,Vehicle Repair,Expense,28452.47,YES
CLM000865,Check,Medical,Expense,32582.74,NO
CLM000088,Credit Card,Medical,Expense,28553.33,YES
CLM000411,Check,Medical,Expense,31561.28,YES
CLM000392,Credit Card,Medical,Indemnity,39143.86,YES
CLM000020,Credit Card,Vehicle Repair,Indemnity,9615.34,NO
CLM000925,Credit Card,Vehicle Repair,Indemnity,22313.64,NO
CLM000968,Direct Deposit,Vehicle Repair,Indemnity,16204.31,YES
CLM000178,Credit Card,Vehicle Repair,Indemnity,46095.11,NO
CLM000302,Direct Deposit,Medical,Indemnity,34178.5,NO
CLM000861,Check,Vehicle Repair,Indemnity,27849.91,NO
CLM000577,Direct Deposit,Medical,Indemnity,27601.27,YES
CLM000988,Direct Deposit,Property Damage,Indemnity,11595.39,NO
CLM000877,Check,Vehicle Repair,Expense,29029.18,NO
CLM000141,Direct Deposit,Vehicle Repair,Expense,20628.95,NO
CLM000869,Direct Deposit,Medical,Indemnity,44143.87,YES
CLM000099,Direct Deposit,Vehicle Repair,Indemnity,4508.83,YES
CLM000964,Direct Deposit,Property Damage,Indemnity,20914.94,NO
CLM000973,Credit Card,Vehicle Repair,Indemnity,31856.41,NO
CLM000011,Credit Card,Property Damage,Indemnity,40953.37,NO
CLM000791,Direct Deposit,Vehicle Repair,Indemnity,49269.89,YES
CLM000166,Direct Deposit,Medical,Indemnity,38228.7,NO
CLM000335,Credit Card,Property Damage,Expense,34022.72,YES
CLM000725,Direct Deposit,Medical,Indemnity,24299.34,YES
CLM000639,Credit Card,Property Damage,Expense,30991.45,NO
CLM000857,Check,Medical,Expense,23418.11,NO
CLM000131,Check,Medical,Expense,18770.53,YES
CLM000323,Check,Property Damage,Indemnity,14609.23,NO
CLM000704,Direct Deposit,Property Damage,Indemnity,17940.12,YES
CLM000063,Check,Property Damage,Indemnity,21380.45,NO
CLM000331,Check,Property Damage,Expense,15463.62,YES
CLM000111,Credit Card,Medical,Expense,14107.54,YES
CLM000761,Direct Deposit,Property Damage,Indemnity,18319.79,YES
CLM000610,Check,Medical,Indemnity,18022.4,NO
CLM000949,Credit Card,Medical,Indemnity,22575.2,YES
CLM000073,Credit Card,Vehicle Repair,Indemnity,32708.64,NO
CLM000977,Direct Deposit,Medical,Expense,35856.39,NO
CLM000585,Credit Card,Property Damage,Indemnity,26462.65,NO
CLM000673,Direct Deposit,Property Damage,Expense,10665.9,NO
CLM000463,Direct Deposit,Medical,Indemnity,14274.36,NO
CLM000457,Direct Deposit,Vehicle Repair,Expense,5790.33,NO
CLM000413,Direct Deposit,Vehicle Repair,Indemnity,18067.48,YES
CLM000909,Check,Medical,Indemnity,7078.64,NO
CLM000411,Direct Deposit,Vehicle Repair,Indemnity,9897.8,YES
CLM000464,Check,Medical,Expense,27258.42,NO
CLM000501,Check,Property Damage,Indemnity,23608.07,YES
CLM000227,Credit Card,Medical,Expense,17974.79,YES
CLM000390,Direct Deposit,Medical,Indemnity,9911.22,YES
CLM000674,Check,Vehicle Repair,Indemnity,23603.54,YES
CLM000987,Credit Card,Property Damage,Expense,33614.86,YES
CLM000223,Direct Deposit,Property Damage,Expense,34574.31,YES
CLM000773,Check,Medical,Indemnity,2988.26,YES
CLM000525,Direct Deposit,Medical,Indemnity,39846.08,NO
CLM000432,Direct Deposit,Medical,Expense,45515.27,NO
CLM000499,Check,Property Damage,Expense,32281.55,NO
CLM000748,Direct Deposit,Vehicle Repair,Expense,41807.12,NO
CLM000308,Check,Vehicle Repair,Expense,17055.0,NO
CLM000691,Credit Card,Medical,Indemnity,1257.99,YES
CLM000534,Credit Card,Vehicle Repair,Indemnity,47965.16,YES
CLM000026,Direct Deposit,Property Damage,Indemnity,17468.44,YES
CLM000379,Credit Card,Property Damage,Expense,34092.19,YES
CLM000592,Direct Deposit,Property Damage,Indemnity,18165.55,YES
CLM000011,Direct Deposit,Vehicle Repair,Expense,21675.36,YES
CLM000779,Check,Medical,Indemnity,16972.34,NO
CLM000616,Credit Card,Vehicle Repair,Expense,16880.04,NO
CLM000889,Credit Card,Medical,Indemnity,36450.41,YES
CLM000292,Credit Card,Property Damage,Indemnity,36064.29,NO
CLM000245,Check,Medical,Expense,27683.7,YES
CLM000378,Credit Card,Vehicle Repair,Indemnity,17764.38,YES
CLM000406,Credit Card,Vehicle Repair,Indemnity,26037.2,YES
CLM000493,Direct Deposit,Medical,Expense,42530.11,NO
CLM000059,Check,Medical,Indemnity,19640.85,YES
CLM000331,Credit Card,Property Damage,Expense,10276.95,YES
CLM000358,Check,Property Damage,Indemnity,37657.36,YES
CLM000413,Credit Card,Vehicle Repair,Indemnity,45179.29,YES
CLM000664,Check,Medical,Indemnity,2526.13,YES
CLM000653,Check,Property Damage,Expense,30141.94,NO
CLM000854,Direct Deposit,Vehicle Repair,Indemnity,43031.23,NO
CLM000923,Check,Vehicle Repair,Expense,29532.75,YES
CLM000296,Credit Card,Property Damage,Expense,49198.35,NO
CLM000775,Credit Card,Property Damage,Indemnity,199.19,YES
CLM000872,Check,Vehicle Repair,Indemnity,21235.86,YES
CLM000335,Check,Medical,Expense,17474.8,NO
CLM000048,Direct Deposit,Vehicle Repair,Indemnity,40901.41,NO
CLM000634,Direct Deposit,Property Damage,Expense,42156.82,YES
CLM000384,Credit Card,Property Damage,Expense,28856.41,YES
CLM000612,Check,Property Damage,Expense,42126.04,NO
CLM000544,Direct Deposit,Vehicle Repair,Indemnity,15597.1,NO
CLM000051,Check,Property Damage,Indemnity,31169.33,NO
CLM000095,Check,Vehicle Repair,Expense,13521.66,YES
CLM000778,Direct Deposit,Property Damage,Indemnity,5468.7,YES
CLM000536,Credit Card,Property Damage,Indemnity,23865.28,NO
CLM000455,Check,Vehicle Repair,Indemnity,9955.4,YES
CLM000823,Direct Deposit,Medical,Expense,45872.04,YES
CLM000016,Check,Vehicle Repair,Indemnity,28503.55,NO
CLM000310,Direct Deposit,Property Damage,Expense,18020.49,NO
CLM000861,Check,Medical,Indemnity,40630.53,YES
CLM000644,Check,Medical,Indemnity,6674.63,NO
CLM000400,Check,Vehicle Repair,Indemnity,36387.1,NO
CLM000255,Credit Card,Property Damage,Indemnity,9770.15,NO
CLM000790,Check,Vehicle Repair,Expense,44696.68,YES
CLM000244,Credit Card,Vehicle Repair,Expense,47054.03,NO
CLM000042,Credit Card,Property Damage,Expense,13810.57,NO
CLM000007,Check,Property Damage,Indemnity,22000.22,NO
CLM000150,Check,Vehicle Repair,Indemnity,24380.5,NO
CLM000810,Credit Card,Vehicle Repair,Expense,12260.82,NO
CLM000556,Check,Vehicle Repair,Indemnity,4266.99,NO
CLM000736,Check,Property Damage,Indemnity,28466.48,YES
CLM000091,Credit Card,Medical,Indemnity,48086.09,YES
CLM000631,Check,Property Damage,Expense,26714.93,NO
CLM000944,Check,Property Damage,Expense,14586.54,YES
CLM000740,Check,Vehicle Repair,Indemnity,25547.3,YES
CLM000495,Check,Medical,Indemnity,24736.43,NO
CLM000112,Check,Medical,Expense,29676.42,NO
CLM000363,Check,Property Damage,Indemnity,43638.4,NO
CLM000300,Credit Card,Vehicle Repair,Expense,36860.09,NO
CLM000195,Credit Card,Property Damage,Indemnity,22631.4,YES
CLM000910,Credit Card,Property Damage,Indemnity,39196.25,NO
CLM000670,Direct Deposit,Medical,Expense,38400.37,NO
CLM000321,Check,Vehicle Repair,Expense,28492.22,YES
CLM000277,Direct Deposit,Medical,Indemnity,21536.67,YES
CLM000207,Credit Card,Medical,Expense,35333.85,YES
CLM000165,Direct Deposit,Medical,Indemnity,15213.67,YES
CLM000212,Direct Deposit,Medical,Expense,14545.25,YES
CLM000630,Direct Deposit,Vehicle Repair,Indemnity,36872.61,YES
CLM000958,Check,Medical,Indemnity,19039.91,NO
CLM000558,Credit Card,Property Damage,Indemnity,32916.34,YES
CLM000190,Credit Card,Vehicle Repair,Expense,39060.9,NO
CLM000371,Credit Card,Vehicle Repair,Expense,19853.42,YES
CLM000317,Check,Vehicle Repair,Indemnity,25886.77,YES
CLM000674,Check,Property Damage,Expense,25337.11,YES
CLM000179,Credit Card,Property Damage,Indemnity,27265.02,NO
CLM000848,Check,Property Damage,Expense,31616.41,YES
CLM000245,Check,Vehicle Repair,Expense,48103.62,YES
CLM000206,Check,Vehicle Repair,Indemnity,32390.15,NO
CLM000374,Credit Card,Medical,Expense,9564.46,NO
CLM000069,Direct Deposit,Medical,Indemnity,48929.39,YES
CLM000915,Direct Deposit,Vehicle Repair,Indemnity,19771.35,YES
CLM000714,Check,Vehicle Repair,Indemnity,37762.93,NO
CLM000248,Direct Deposit,Property Damage,Expense,14449.45,NO
CLM000239,Direct Deposit,Property Damage,Indemnity,11707.88,NO
CLM000656,Check,Property Damage,Expense,8978.29,YES
CLM000236,Check,Property Damage,Expense,28462.17,YES
CLM000867,Credit Card,Vehicle Repair,Expense,17121.76,YES
CLM000818,Direct Deposit,Property Damage,Indemnity,38576.23,YES
CLM000929,Credit Card,Property Damage,Indemnity,10319.11,NO
CLM000552,Check,Property Damage,Indemnity,31680.0,YES
CLM000178,Credit Card,Vehicle Repair,Indemnity,40557.94,NO
CLM000781,Credit Card,Vehicle Repair,Expense,3011.97,NO
CLM000579,Direct Deposit,Medical,Expense,22471.45,YES
CLM000658,Check,Vehicle Repair,Indemnity,16900.19,NO
CLM000768,Check,Medical,Indemnity,16777.02,NO
CLM000181,Direct Deposit,Property Damage,Expense,39861.92,YES
CLM000458,Direct Deposit,Vehicle Repair,Expense,19377.88,NO
CLM000855,Direct Deposit,Medical,Indemnity,32436.55,NO
CLM000787,Check,Property Damage,Indemnity,46072.55,NO
CLM000611,Direct Deposit,Property Damage,Indemnity,28434.14,NO
CLM000397,Check,Medical,Indemnity,15243.98,NO
CLM000037,Check,Medical,Indemnity,28734.62,YES
CLM000536,Check,Vehicle Repair,Indemnity,9546.65,NO
CLM000973,Direct Deposit,Vehicle Repair,Indemnity,38129.28,NO
CLM000507,Credit Card,Property Damage,Indemnity,42614.23,NO
CLM000821,Direct Deposit,Vehicle Repair,Indemnity,4937.98,YES
CLM000622,Check,Medical,Expense,36570.52,NO
CLM000062,Credit Card,Property Damage,Expense,8355.31,NO
CLM000549,Direct Deposit,Property Damage,Expense,25147.66,YES
CLM000189,Check,Vehicle Repair,Indemnity,48327.95,NO
CLM000412,Check,Property Damage,Indemnity,24265.81,YES
CLM000250,Check,Property Damage,Indemnity,3758.23,NO
CLM000187,Direct Deposit,Vehicle Repair,Expense,26322.4,NO
CLM000986,Direct Deposit,Vehicle Repair,Indemnity,24735.84,YES
CLM000586,Check,Vehicle Repair,Indemnity,27408.14,NO
CLM000754,Credit Card,Property Damage,Indemnity,9871.32,YES
CLM000615,Credit Card,Vehicle Repair,Expense,21235.83,NO
CLM000096,Credit Card,Vehicle Repair,Indemnity,4062.12,NO
CLM000915,Credit Card,Vehicle Repair,Expense,41579.97,YES
CLM000790,Direct Deposit,Medical,Expense,34790.89,YES
CLM000535,Direct Deposit,Property Damage,Indemnity,18946.79,NO
CLM000488,Credit Card,Property Damage,Expense,13166.08,YES
CLM000654,Credit Card,Medical,Expense,13033.44,NO
CLM000644,Direct Deposit,Medical,Expense,49319.31,NO
CLM000159,Direct Deposit,Property Damage,Indemnity,16560.19,NO
CLM000591,Direct Deposit,Property Damage,Indemnity,34345.4,NO
CLM000400,Check,Medical,Expense,7737.75,NO
CLM000406,Direct Deposit,Vehicle Repair,Expense,20922.47,NO
CLM000165,Direct Deposit,Medical,Indemnity,3729.0,NO
CLM000633,Direct Deposit,Vehicle Repair,Expense,31476.86,NO
CLM000968,Check,Vehicle Repair,Expense,38244.41,YES
CLM000327,Credit Card,Vehicle Repair,Indemnity,20712.05,NO
CLM000347,Check,Property Damage,Expense,9037.05,NO
CLM000300,Direct Deposit,Vehicle Repair,Expense,8953.31,YES
CLM000447,Credit Card,Medical,Indemnity,12721.43,NO
CLM000464,Check,Property Damage,Expense,15366.72,YES
CLM000977,Credit Card,Medical,Indemnity,34624.19,YES
CLM000854,Check,Vehicle Repair,Indemnity,2782.39,YES
CLM000190,Direct Deposit,Vehicle Repair,Expense,31983.05,NO
CLM000383,Direct Deposit,Medical,Expense,46442.87,NO
CLM000378,Check,Vehicle Repair,Indemnity,20472.19,YES
CLM000658,Direct Deposit,Medical,Indemnity,3301.75,YES
CLM000598,Check,Vehicle Repair,Expense,34794.06,YES
CLM000063,Check,Vehicle Repair,Indemnity,9182.71,YES
CLM000184,Credit Card,Medical,Indemnity,5812.98,NO
CLM000680,Check,Property Damage,Indemnity,48313.69,NO
CLM000442,Direct Deposit,Medical,Expense,8218.0,YES
CLM000459,Credit Card,Vehicle Repair,Expense,5609.81,YES
CLM000516,Check,Medical,Indemnity,43560.42,NO
CLM000001,Direct Deposit,Medical,Indemnity,36184.36,YES
CLM000712,Check,Medical,Indemnity,43997.27,NO
CLM000511,Check,Property Damage,Expense,32076.37,YES
CLM000887,Direct Deposit,Property Damage,Indemnity,19588.03,NO
CLM000480,Direct Deposit,Vehicle Repair,Indemnity,7689.84,YES
CLM000750,Credit Card,Medical,Indemnity,31849.41,YES
CLM000421,Direct Deposit,Medical,Expense,584.47,YES
CLM000858,Direct Deposit,Vehicle Repair,Indemnity,38578.21,YES
CLM000617,Direct Deposit,Vehicle Repair,Expense,38754.43,NO
CLM000015,Check,Property Damage,Indemnity,43414.98,NO
CLM000573,Credit Card,Medical,Expense,1851.61,YES
CLM000026,Credit Card,Medical,Expense,47253.02,YES
CLM000455,Credit Card,Medical,Indemnity,35472.18,YES
CLM000066,Direct Deposit,Property Damage,Expense,14660.82,YES
CLM000863,Direct Deposit,Property Damage,Expense,3774.81,YES
CLM000991,Direct Deposit,Vehicle Repair,Expense,41193.66,YES
CLM000407,Check,Vehicle Repair,Expense,46266.57,YES
CLM000535,Credit Card,Medical,Expense,48418.1,YES
CLM000931,Check,Property Damage,Expense,27198.0,YES
CLM000521,Direct Deposit,Medical,Expense,4418.79,YES
CLM000217,Direct Deposit,Vehicle Repair,Indemnity,46753.66,NO
CLM000032,Direct Deposit,Vehicle Repair,Expense,1520.15,NO
CLM000706,Credit Card,Property Damage,Expense,20034.53,NO
CLM000553,Credit Card,Vehicle Repair,Indemnity,201.69,NO
